"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"1pin";4;"1pin";;;
2;"D2,D5";"LED_0805";2;"LED_Small";;;
3;"P1";"Socket_Strip_Straight_2x06";1;"CONN_02X06";;;
4;"P2";"TerminalBlock_Pheonix_MKDS1.5-2pol";1;"CONN_01X02";;;
5;"P3";"Socket_Strip_Straight_1x06";1;"CONN_01X06";;;
6;"P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20";"Socket_Strip_Straight_1x03";16;"CONN_01X03";;;
7;"R1,R2,R3,R4,R5,R6,R7,R8,R9";"R_0805_HandSoldering";9;"10K";;;
8;"R10,R28";"R_0805_HandSoldering";2;"470";;;
9;"R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26";"R_0805_HandSoldering";16;"220";;;
10;"U1";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"PCA9685";;;
11;"C2,C4";"CP_Tantalum_Case-S_EIA-3216-12_Hand";2;"10uF";;;
